Video Game Title,Genre,Console,Publishers(s),Developer(s),Units Sold,Total Sales,NA Sales,PAL Sales,JP Sales,Other Sales,Release Date
I Doll U,Adventure,PSV,Idea Factory,Idea Factory,N/A,0.02m,N/A,N/A,0.02m,N/A,16th Jul 15
Ryu-Koku,Adventure,PS2,KID,KID Corporation,N/A,0.02m,N/A,N/A,0.02m,N/A,21st Sep 06
GunParade Orchestra: Midori no Shou,Adventure,PS2,Sony Computer Entertainment,Alfa System,N/A,0.02m,N/A,N/A,0.02m,N/A,30th Mar 06
Grey's Anatomy: The Video Game,Adventure,PC,Ubisoft,Longtail Studios,N/A,0.02m,N/A,0.02m,N/A,0.00m,04th Mar 09
PriministAr,Adventure,PSV,Entergram,Unknown,N/A,0.02m,N/A,N/A,0.02m,N/A,29th Sep 16
Grisaia no Rakuen: Le Eden de la Grisaia,Adventure,PSV,Prototype,Prototype,N/A,0.02m,N/A,N/A,0.02m,N/A,11th Dec 14
Sherlock: The Riddle of the Crown Jewels,Adventure,PC,Infocom,Challenge Inc.,0.02m,N/A,N/A,N/A,N/A,N/A,01st Jan 87
Higurashi Daybreak Portable Mega Edition,Adventure,PSP,Alchemist,Alchemist,N/A,0.02m,N/A,N/A,0.02m,N/A,26th Nov 09
Agatha Christie: The ABC Murders,Adventure,PC,Microids,Artefacts Studios,N/A,0.02m,N/A,0.02m,N/A,0.00m,23rd Feb 16
Plastic Memories,Adventure,PSV,5pb,Unknown,N/A,0.02m,N/A,N/A,0.02m,N/A,13th Oct 16
"Renai Banchou: Inochi Meishi, Koiseyo Otome! Love is Power!!!",Adventure,PSP,Idea Factory,Idea Factory,N/A,0.02m,N/A,N/A,0.02m,N/A,11th Nov 10
Stationfall,Adventure,PC,Infocom,"Infocom, Inc.",0.02m,N/A,N/A,N/A,N/A,N/A,01st Jan 87
Kaleidoeve,Adventure,PSV,HuneX,HuneX,N/A,0.02m,N/A,N/A,0.02m,N/A,22nd Jan 15
Gekka Ryouran Romance,Adventure,PSP,Idea Factory,Idea Factory,N/A,0.02m,N/A,N/A,0.02m,N/A,15th Sep 11
