Video Game Title,Genre,Console,Publishers(s),Developer(s),Units Sold,Total Sales,NA Sales,PAL Sales,JP Sales,Other Sales,Release Date
Gambler Densetsu: Tetsunari Yomigaeru Densetsu,Adventure,GBA,Athena,Athena,N/A,N/A,N/A,N/A,N/A,N/A,19th Jul 02
Game of Thrones: A Telltale Games Series,Adventure,OSX,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,02nd Dec 14
Ganbare Goemon: Uchuu Kaizoku Akogingu,Adventure,PS,Konami,Konami,N/A,N/A,N/A,N/A,N/A,N/A,22nd Mar 96
Ganbare Goemon: Uchuu Kaizoku Akogingu,Adventure,PSN,Konami,Konami,N/A,N/A,N/A,N/A,N/A,N/A,27th Sep 07
Gangs of London,Adventure,PSN,Sony Computer Entertainment,SCEE London Studio,N/A,N/A,N/A,N/A,N/A,N/A,19th Nov 07
Garaku Tale,Adventure,DS,KOEI,muu muu,N/A,N/A,N/A,N/A,N/A,N/A,16th Mar 06
Gargoyle's Quest,Adventure,GB,Capcom,Capcom,N/A,N/A,N/A,N/A,N/A,N/A,01st Jul 90
Gargoyle's Quest,Adventure,3DS,Capcom,Capcom,N/A,N/A,N/A,N/A,N/A,N/A,25th Aug 11
Gargoyle's Quest II,Adventure,NES,Capcom,Capcom,N/A,N/A,N/A,N/A,N/A,N/A,01st Oct 92
Gateway II: Homeworld,Adventure,PC,Legend Entertainment,Legend Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 93
Gegege no Kitarou: Maboroshi Fuyu Kaikitan,Adventure,SAT,Bandai,Bandai,N/A,N/A,N/A,N/A,N/A,N/A,27th Dec 96
Gegege no Kitarou: Noroi no Nikuto Katachi Tachi,Adventure,PS,Bandai,Bandai,N/A,N/A,N/A,N/A,N/A,N/A,24th Jan 97
Generations Lost,Adventure,GEN,Time Warner Interactive,Pacific Softscape,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 94
Genso Suiko Gaiden Vol.1: Harmonia no Keshi,Adventure,PS,Konami,KCET,N/A,N/A,N/A,N/A,N/A,N/A,21st Sep 00
Genso Suiko Gaiden Vol.2: Crystal Valley no Kettou,Adventure,PS,Konami,KCET,N/A,N/A,N/A,N/A,N/A,N/A,22nd Mar 01
Gensoumaden Saiyuuki: Hangyaku no Toshin Taishi,Adventure,GBA,Digital Kids,Digital Kids,N/A,N/A,N/A,N/A,N/A,N/A,01st Aug 03
Gerry Anderson's Thunderbirds,Adventure,GB,Human Entertainment,Human Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,12th Feb 93
GET! Boku no Mushitsu Kamaete,Adventure,GBA,Kemco,Kemco,N/A,N/A,N/A,N/A,N/A,N/A,11th Jul 03
Ghost,Adventure,GIZ,Unknown,Gizmondo Studios,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ghost in the Sheet,Adventure,PC,Tri Synergy,Tri Synergy,N/A,N/A,N/A,N/A,N/A,N/A,20th Nov 07
Ghost Manor,Adventure,2600,Xonox,Xonox,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 83
Ghostwire: Link to the Paranormal,Adventure,DSiW,Unknown,A Different Game,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ghoul School,Adventure,NES,Electro Brain,Imagineering Inc.,N/A,N/A,N/A,N/A,N/A,N/A,01st Mar 92
Gift,Adventure,PC,Unknown,Moonstone,N/A,N/A,N/A,N/A,N/A,N/A,27th May 05
Gijinka Pet no Kodzukuri Ongaeshi,Adventure,PC,Norn,Norn,N/A,N/A,N/A,N/A,N/A,N/A,09th Dec 11
Gin no Eclipse,Adventure,PS2,Nine'sFox,Nine'sFox,N/A,N/A,N/A,N/A,N/A,N/A,31st Jul 08
Ginga Ojousama Densetsu Yuna FX: Kanashimi no Siren,Adventure,PCFX,Hudson Soft,Will,N/A,N/A,N/A,N/A,N/A,N/A,08th Mar 96
Girl Friend Beta: Summer Vacation Spent With You,Adventure,PSV,"CyberAgent, Inc.","CyberAgent, Inc.",N/A,N/A,N/A,N/A,N/A,N/A,19th Nov 15
Girls Bravo: Romance 15's,Adventure,PS2,Kadokawa Shoten,Kadokawa Shoten,N/A,N/A,N/A,N/A,N/A,N/A,27th Jan 05
Glass Rose,Adventure,PS2,Capcom,Cing,N/A,N/A,N/A,N/A,N/A,N/A,26th Mar 04
Gnomz,Adventure,WW,Qubic Games,Qubic Games,N/A,N/A,N/A,N/A,N/A,N/A,03rd Nov 11
Go Diego Go!: Wolf Pup Rescue,Adventure,PC,Activision,Sarbakan,N/A,N/A,N/A,N/A,N/A,N/A,19th Sep 06
Go! Go! Kokopolo,Adventure,DSiW,Unknown,Room 4 Games Limited,N/A,N/A,N/A,N/A,N/A,N/A,11th Aug 11
Goin' Downtown,Adventure,PC,Unknown,Silver Style Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,22nd May 08
Gokkun! My Darling: Kinpatsupu ni Kyonyuu na Konyakusha no Choukyou Days,Adventure,PC,Unknown,Pita-Feti,N/A,N/A,N/A,N/A,N/A,N/A,02nd Dec 11
Gold and Glory: The Road to El Dorado,Adventure,PC,Ubisoft,Revolution Software,N/A,N/A,N/A,N/A,N/A,N/A,30th Jun 01
Gold Rush!,Adventure,PC,Sierra Entertainment,Sierra Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 88
Golgo 13: File G-13 o Oe,Adventure,DS,Marvelous Interactive,Marvelous Interactive,N/A,N/A,N/A,N/A,N/A,N/A,18th Jun 09
Golgo 13: Karairu no Yabou,Adventure,PS,Daiki,D'Manga,N/A,N/A,N/A,N/A,N/A,N/A,26th Nov 98
Golgo 13: Kenenai Guntai,Adventure,PS,Daiki,D'Manga,N/A,N/A,N/A,N/A,N/A,N/A,26th Nov 98
Gone Home,Adventure,PS4,Majesco Entertainment,The Fullbright Company,N/A,N/A,N/A,N/A,N/A,N/A,12th Jan 16
Gone Home,Adventure,XOne,Majesco Entertainment,The Fullbright Company,N/A,N/A,N/A,N/A,N/A,N/A,13th Jan 16
Gonta no Okiraku Daibouken,Adventure,GB,Lay-Up,Lay-Up,N/A,N/A,N/A,N/A,N/A,N/A,29th Sep 00
Goosebumps: Escape From Horrorland,Adventure,PC,DreamWorks Interactive,DreamWorks Interactive,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 96
Goosebumps: The Game,Adventure,X360,WayForward Technologies,WayForward Technologies,N/A,N/A,N/A,N/A,N/A,N/A,14th Oct 15
Goosebumps: The Game,Adventure,XOne,WayForward Technologies,WayForward Technologies,N/A,N/A,N/A,N/A,N/A,N/A,14th Oct 15
Gothic: The Age of Innocence,Adventure,PC,Unknown,Penta,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Grand Theft Auto 2,Adventure,GB,Rockstar Games,Tarantula Studios,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 00
Grand Theft Auto 2,Adventure,PC,Rockstar Games,DMA Design,N/A,N/A,N/A,N/A,N/A,N/A,30th Sep 99
Grand Theft Auto IV: The Ballad of Gay Tony,Adventure,PSN,Rockstar Games,Rockstar North,N/A,N/A,N/A,N/A,N/A,N/A,13th Apr 10
Grand Theft Auto IV: The Ballad of Gay Tony,Adventure,XBL,Rockstar Games,Rockstar North,N/A,N/A,N/A,N/A,N/A,N/A,29th Oct 09
Grand Theft Auto IV: The Ballad of Gay Tony,Adventure,PC,Rockstar Games,Rockstar North,N/A,N/A,N/A,N/A,N/A,N/A,13th Apr 10
Grand Theft Auto IV: The Lost and Damned,Adventure,XBL,Rockstar Games,Rockstar North,N/A,N/A,N/A,N/A,N/A,N/A,17th Feb 09
Grand Theft Auto IV: The Lost and Damned,Adventure,PC,Rockstar Games,Rockstar North,N/A,N/A,N/A,N/A,N/A,N/A,13th Apr 10
Grand Theft Auto IV: The Lost and Damned,Adventure,PSN,Rockstar Games,Rockstar North,N/A,N/A,N/A,N/A,N/A,N/A,13th Apr 10
Grand Theft Auto: Chinatown Wars,Adventure,PSN,Rockstar Games,Rockstar Leeds,N/A,N/A,N/A,N/A,N/A,N/A,19th Oct 09
Grauen no Torikago Kapitel 1: Keiyaku,Adventure,DC,Sega,Sega,N/A,N/A,N/A,N/A,N/A,N/A,30th Sep 99
Grauen no Torikago Kapitel 2: Torikago,Adventure,DC,Sega,Sega,N/A,N/A,N/A,N/A,N/A,N/A,15th Nov 99
Grauen no Torikago Kapitel 3: Kansei,Adventure,DC,Sega,Sega,N/A,N/A,N/A,N/A,N/A,N/A,27th Jan 00
Grauen no Torikago Kapitel 4: Kaikou,Adventure,DC,Sega,Sega,N/A,N/A,N/A,N/A,N/A,N/A,30th Mar 00
Grauen no Torikago Kapitel 5: Shoukuzai,Adventure,DC,Sega,Sega,N/A,N/A,N/A,N/A,N/A,N/A,25th May 00
Grauen no Torikago Kapitel 6: Senritsu,Adventure,DC,Sega,Sega,N/A,N/A,N/A,N/A,N/A,N/A,27th Jul 00
Great Adventures by Fisher Price: Castles,Adventure,PC,Unknown,Davidson & associates,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96
Green Green: Kane no Oto Dynamic,Adventure,PS2,Well Made,StartLink,N/A,N/A,N/A,N/A,N/A,N/A,24th Apr 03
Green Green: Kane no Oto Romantic,Adventure,PS2,Well Made,StartLink,N/A,N/A,N/A,N/A,N/A,N/A,24th Apr 03
Gregory Horror Show,Adventure,PS2,Capcom,Capcom,N/A,N/A,N/A,N/A,N/A,N/A,05th Dec 03
Gremlins Gizmo,Adventure,DS,Unknown,"Pipeworks Software, Inc.",N/A,N/A,N/A,N/A,N/A,N/A,18th Nov 11
Gremlins Gizmo,Adventure,Wii,Unknown,"Pipeworks Software, Inc.",N/A,N/A,N/A,N/A,N/A,N/A,18th Nov 11
Grisaia no Meikyuu: Le Labyrinthe de la Grisaia,Adventure,PSP,Prototype,Prototype,N/A,N/A,N/A,N/A,N/A,N/A,30th Oct 14
Grom: Terror in Tibet,Adventure,PC,CDV Software Entertainment,Rebelmind,N/A,N/A,N/A,N/A,N/A,N/A,12th Mar 03
Ground Zero Texas,Adventure,SCD,Sony Imagesoft,Digital Pictures,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93
Guardian Angel,Adventure,PS2,Datam Polystar,Vridge,N/A,N/A,N/A,N/A,N/A,N/A,27th Feb 03
Gun-Katana: Non Human Killer,Adventure,PC,Unknown,Black Cyc,N/A,N/A,N/A,N/A,N/A,N/A,31st Aug 07
Gundam 0079: The War For Earth,Adventure,PS,Bandai,Presto Studios,N/A,N/A,N/A,N/A,N/A,N/A,02nd May 97
GunParade March,Adventure,PSN,Sony Computer Entertainment,Alfa System,N/A,N/A,N/A,N/A,N/A,N/A,22nd Sep 10
GunParade March,Adventure,PS,Sony Computer Entertainment,Alfa System,N/A,N/A,N/A,N/A,N/A,N/A,28th Sep 00
Gunslinger Girl Volume I,Adventure,PS2,Marvelous Interactive,Media Works,N/A,N/A,N/A,N/A,N/A,N/A,08th Apr 04
Gunslinger Girl Volume II,Adventure,PS2,Marvelous Interactive,Media Works,N/A,N/A,N/A,N/A,N/A,N/A,17th Jun 04
Gunslinger Girl Volume III,Adventure,PS2,Marvelous Interactive,Media Works,N/A,N/A,N/A,N/A,N/A,N/A,19th Aug 04
Guren ni Somaru Gin no Rosario,Adventure,PC,F&C,F&C,N/A,N/A,N/A,N/A,N/A,N/A,28th Apr 06
Gyakushuu 4,Adventure,PC,Unknown,Anim,N/A,N/A,N/A,N/A,N/A,N/A,26th Aug 11
Gyakuten Saiban,Adventure,GBA,Capcom,Capcom,N/A,N/A,N/A,N/A,N/A,N/A,12th Oct 01
Gyokugen Dasshutsu Adv: Zennin Shiboudes,Adventure,3DS,ChunSoft,ChunSoft,N/A,N/A,N/A,N/A,N/A,N/A,16th Feb 12
Gyokugen Dasshutsu Adv: Zennin Shiboudes,Adventure,PSV,Unknown,ChunSoft,N/A,N/A,N/A,N/A,N/A,N/A,N/A
H2O / Root: After and Another Complete Story Edition,Adventure,PC,Unknown,Makura,N/A,N/A,N/A,N/A,N/A,N/A,31st Jul 09
H2O: Footprints in the Sand,Adventure,PC,Unknown,Makura,N/A,N/A,N/A,N/A,N/A,N/A,23rd Jun 06
Hachi Koi,Adventure,DS,Unknown,Neuron Age,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hachi-One Diver,Adventure,PS2,SilverStar,SilverStar Japan,N/A,N/A,N/A,N/A,N/A,N/A,17th Sep 09
Hachi-One Diver DS Story,Adventure,DSiW,SilverStar,SilverStar Japan,N/A,N/A,N/A,N/A,N/A,N/A,17th Mar 10
Hachi-One Diver Wii,Adventure,WW,SilverStar,SilverStar Japan,N/A,N/A,N/A,N/A,N/A,N/A,24th Mar 09
Hachigatsu no Nostalgia,Adventure,PC,BeF,BeF,N/A,N/A,N/A,N/A,N/A,N/A,07th Jul 00
Hachigatsu no Nostalgia: The Summer,Adventure,PC,BeF,BeF,N/A,N/A,N/A,N/A,N/A,N/A,16th May 03
Hachimitsu Otome Blossom Days,Adventure,PC,Lupinus,Lupinus,N/A,N/A,N/A,N/A,N/A,N/A,23rd Oct 09
Hagane no Oni,Adventure,PC,Unknown,Studio Neko Punch,N/A,N/A,N/A,N/A,N/A,N/A,11th Jul 03
Hagane no Oni: Kidou Hohei vs. Onna Ninja Gundan,Adventure,PC,Unknown,Studio Neko Punch,N/A,N/A,N/A,N/A,N/A,N/A,08th Oct 99
Hakkou no Niidzuma: Watashi... Nigera Renai...,Adventure,PC,GokuFero,GokuFero,N/A,N/A,N/A,N/A,N/A,N/A,19th Aug 11
Hakuisei Renai Shoukougun,Adventure,PSP,CyberFront,CyberFront,N/A,N/A,N/A,N/A,N/A,N/A,29th Sep 11
Hakuouki: Zuisouroku Portable Twin Pack,Adventure,PSP,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,N/A,N/A,26th Aug 10
Hallowed Legends,Adventure,PC,Unknown,PlayFirst,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hamepane Tokyo Myuu Myuu,Adventure,GBA,Takara,Takara,N/A,N/A,N/A,N/A,N/A,N/A,11th Jul 02
Hametsu no Mars,Adventure,PS2,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,N/A,N/A,26th May 05
Hamilton's Great Adventure,Adventure,PSN,Unknown,Fatshark AB,N/A,N/A,N/A,N/A,N/A,N/A,23rd Aug 11
Hamilton's Great Adventure,Adventure,PC,Unknown,Fatshark AB,N/A,N/A,N/A,N/A,N/A,N/A,31st May 11
Hana to Otome ni Shukufuku o: Shunpuu no Okurimono Portable,Adventure,PSP,Unknown,Boost On,N/A,N/A,N/A,N/A,N/A,N/A,27th Oct 11
Hana Yori Dango: Another Love Story,Adventure,GB,TDK Core,TDK Core,N/A,N/A,N/A,N/A,N/A,N/A,27th Jul 01
Hanakisou,Adventure,PS2,Prototype,HaccaWorks,N/A,N/A,N/A,N/A,N/A,N/A,06th Jul 06
Hanakisou,Adventure,PSP,Prototype,HaccaWorks,N/A,N/A,N/A,N/A,N/A,N/A,12th Aug 10
"Hanayaka Kana, Ware ga Ichizoku: Kinema Mosaic",Adventure,PSP,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,N/A,N/A,08th Dec 11
Hannah Montana: The Movie,Adventure,PC,Disney Interactive Studios,n-Space,N/A,N/A,N/A,N/A,N/A,N/A,19th May 09
Hans Christian Andersen: The Ugly Prince Duckling,Adventure,PC,The Adventure Company,Guppyworks,N/A,N/A,N/A,N/A,N/A,N/A,20th Mar 07
Hansel & Gretel,Adventure,PS2,Phoenix Games,Phoenix Games,N/A,N/A,N/A,N/A,N/A,N/A,24th Nov 06
Happy Breeding,Adventure,DC,Princess Soft,Princess Soft,N/A,N/A,N/A,N/A,N/A,N/A,27th Feb 03
Happy Feet,Adventure,GBA,Midway Games,Artificial Mind and Movement,N/A,N/A,N/A,N/A,N/A,N/A,14th Nov 06
Happy Feet,Adventure,PC,Midway Games,Artificial Mind and Movement,N/A,N/A,N/A,N/A,N/A,N/A,14th Nov 06
Happy Feet,Adventure,PS2,Midway Games,Artificial Mind and Movement,N/A,N/A,N/A,N/A,N/A,N/A,14th Nov 06
Happy Hippos World Tour,Adventure,DS,Flashpoint Games,10tacle Studios AG,N/A,N/A,N/A,N/A,N/A,N/A,12th Nov 07
Happy Lesson: First Lesson,Adventure,DC,Datam Polystar,fupac,N/A,N/A,N/A,N/A,N/A,N/A,28th Sep 00
Harem Party,Adventure,PC,MangaGamer,Tactics,N/A,N/A,N/A,N/A,N/A,N/A,25th Nov 11
Harry Potter and the Goblet of Fire,Adventure,PSN,Electronic Arts,Electronic Arts,N/A,N/A,N/A,N/A,N/A,N/A,30th Jul 10
Harry Potter and the Order of the Phoenix,Adventure,PSN,Electronic Arts,EA UK,N/A,N/A,N/A,N/A,N/A,N/A,30th Jul 10
Harry Potter and the Order of the Phoenix,Adventure,GBA,Electronic Arts,Visual Impact,N/A,N/A,N/A,N/A,N/A,N/A,10th Jul 07
Harukanaru Toki no Naka de,Adventure,PS,KOEI,Koei / Inis,N/A,N/A,N/A,N/A,N/A,N/A,06th Apr 00
Harukanaru Toki no Naka de,Adventure,GBA,KOEI,Koei / Inis,N/A,N/A,N/A,N/A,N/A,N/A,23rd Aug 02
Harukanaru Toki no Naka de 2,Adventure,PS2,KOEI,Koei,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 02
Harukanaru Toki no Naka de 2,Adventure,PC,KOEI,Koei,N/A,N/A,N/A,N/A,N/A,N/A,28th Sep 01
Harukanaru Toki no Naka de 2,Adventure,PSP,KOEI,Koei,N/A,N/A,N/A,N/A,N/A,N/A,30th Jun 05
Harukanaru Toki no Naka de 3: Izayoiki,Adventure,PS2,KOEI,Koei,N/A,N/A,N/A,N/A,N/A,N/A,22nd Sep 05
Harukanaru Toki no Naka de 3: Unmei no Meikyuu,Adventure,PS2,KOEI,Koei,N/A,N/A,N/A,N/A,N/A,N/A,23rd Mar 06
Harukanaru Toki no Naka de: Hachiyoushou,Adventure,PS2,KOEI,Koei,N/A,N/A,N/A,N/A,N/A,N/A,01st Apr 05
Harukanaru Toki no Naka de: Iroetebako,Adventure,PSP,KOEI,Koei,N/A,N/A,N/A,N/A,N/A,N/A,07th Apr 05
Harukanaru Toki no Naka de: Mai Hito Yo,Adventure,DS,KOEI,Koei,N/A,N/A,N/A,N/A,N/A,N/A,30th Nov 06
Hatsune no Naisho!!,Adventure,PC,Leaf,Leaf,N/A,N/A,N/A,N/A,N/A,N/A,28th Nov 97
Haunted,Adventure,PC,DreamCatcher Interactive,DECK13 Interactive,N/A,N/A,N/A,N/A,N/A,N/A,26th Apr 11
Haunted Halls: Green Hills Sanitarium,Adventure,PC,Unknown,ERS G-Studio,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haunted House,Adventure,XBL,Atari,Atari,N/A,N/A,N/A,N/A,N/A,N/A,27th Oct 10
Haunted House: Cryptic Graves,Adventure,PC,Atari,Dreampainters,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 15
Hawaiian Explorer Lost Island,Adventure,PC,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,05th Aug 08
Hayarigami 2: Keishichou Kaii Jiken File,Adventure,PS2,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,N/A,N/A,N/A,N/A,15th Nov 07
Hayarigami 3: Keishichou Kaii Jiken File,Adventure,PSN,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,N/A,N/A,N/A,N/A,05th Aug 10
Hayarigami Portable: Keishichou Kaii Jiken File,Adventure,PSP,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,N/A,N/A,N/A,N/A,15th Dec 05
Hayarigami Portable: Keishichou Kaijiken File,Adventure,PSN,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,N/A,N/A,N/A,N/A,01st Jul 09
Hayarigami Revenge: Keishichou Kaii Jiken File,Adventure,PS2,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,N/A,N/A,N/A,N/A,14th Jul 05
Hayarigami: Keishichou Kaii Jiken File,Adventure,PS2,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,N/A,N/A,N/A,N/A,05th Aug 04
Heart no Kuni no Alice,Adventure,PC,Quinrose,QuinRose,N/A,N/A,N/A,N/A,N/A,N/A,14th Feb 07
Heart of China,Adventure,PC,Sierra Online,"Dynamix, Inc.",N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 91
Heart Work,Adventure,PC,Kitty Media,Active,N/A,N/A,N/A,N/A,N/A,N/A,26th May 09
Heaven's Will,Adventure,PSP,Taito,Global A Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,26th Oct 06
Heavy Rain,Adventure,PS4,Sony Computer Entertainment,Quantic Dream,N/A,N/A,N/A,N/A,N/A,N/A,01st Mar 16
Heavy Rain Chronicles - Chapter 1: The Taxidermist,Adventure,PSN,Sony Computer Entertainment,Quantic Dream,N/A,N/A,N/A,N/A,N/A,N/A,01st Apr 10
Hector: Badge of Carnage - Episode 1: We Negotiate With Terrorists,Adventure,PC,Telltale Games,Straandlooper,N/A,N/A,N/A,N/A,N/A,N/A,27th Apr 11
Hector: Badge of Carnage - Episode 2: Senseless Acts of Justice,Adventure,PC,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,25th Aug 11
Hector: Badge of Carnage - Episode 3: Beyond Reasonable Doom,Adventure,PC,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,23rd Sep 11
Hector: Badge of Carnage: Episode 1: We Negotiate with Terrorists,Adventure,PC,Unknown,Telltale Games,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heileen 2: The Hands Of Fate,Adventure,PC,Winter Wolves Game Studio,Winter Wolves Studio,N/A,N/A,N/A,N/A,N/A,N/A,12th Dec 09
Heileen 2: The Hands Of Fate,Adventure,OSX,Winter Wolves Game Studio,Winter Wolves Studio,N/A,N/A,N/A,N/A,N/A,N/A,12th Dec 09
Heileen 2: The Hands Of Fate,Adventure,Linux,Winter Wolves Game Studio,Winter Wolves Studio,N/A,N/A,N/A,N/A,N/A,N/A,12th Dec 09
Heileen 3: New Horizons,Adventure,PC,Winter Wolves Studio,Winter Wolves Studio,N/A,N/A,N/A,N/A,N/A,N/A,12th Dec 12
Heileen 3: New Horizons,Adventure,OSX,Winter Wolves Studio,Winter Wolves Studio,N/A,N/A,N/A,N/A,N/A,N/A,12th Dec 12
Heileen 3: New Horizons,Adventure,Linux,Winter Wolves Studio,Winter Wolves Studio,N/A,N/A,N/A,N/A,N/A,N/A,12th Dec 12
Heisei Shin Oniga Shima: Kouhen,Adventure,SNES,Nintendo,Pax Softonica,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 97
Heisei Shin Oniga Shima: Kouhen,Adventure,VC,Nintendo,Pax Softonica,N/A,N/A,N/A,N/A,N/A,N/A,01st Jun 10
Heisei Shin Oniga Shima: Zenpen,Adventure,SNES,Nintendo,Pax Softonica,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 97
Heisei Shin Oniga Shima: Zenpen,Adventure,VC,Nintendo,Pax Softonica,N/A,N/A,N/A,N/A,N/A,N/A,25th May 10
Helam: A Stripling Warrior Quest,Adventure,PC,Unknown,React Games,N/A,N/A,N/A,N/A,N/A,N/A,01st Nov 11
Hell: A Cyberpunk Thriller,Adventure,3DO,GameTek,Take-Two Interactive,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 94
Hell: A Cyberpunk Thriller,Adventure,PC,GameTek,Take-Two Interactive,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 94
Hello Kitty Collection: Miracle Fashion Maker,Adventure,GBA,Imagineer,Imagineer,N/A,N/A,N/A,N/A,N/A,N/A,19th Oct 01
Hello Kitty no Happy House,Adventure,GB,MTO,MTO,N/A,N/A,N/A,N/A,N/A,N/A,02nd Mar 02
Hello Kitty no Sweet Adventure: Daniel Kun ni Aitai,Adventure,GB,Imagineer,Imagineer,N/A,N/A,N/A,N/A,N/A,N/A,19th Jul 00
Hello Kitty to Dear Daniel no Dream Adventure,Adventure,GB,Imagineer,Imagineer,N/A,N/A,N/A,N/A,N/A,N/A,14th Apr 01
Herc's Adventures,Adventure,SAT,LucasArts,Big Ape Productions,N/A,N/A,N/A,N/A,N/A,N/A,31st Jul 97
Higanbana,Adventure,GBA,Athena,Athena,N/A,N/A,N/A,N/A,N/A,N/A,29th Nov 02
Higurashi Daybreak Portable Mega Edition,Adventure,PSN,Alchemist,Alchemist,N/A,N/A,N/A,N/A,N/A,N/A,04th Nov 10
Higurashi no Naku Koro ni Kizuna: Ichi-Ni Maki Pack,Adventure,DS,Alchemist,Alchemist,N/A,N/A,N/A,N/A,N/A,N/A,24th Dec 09
Hiiro no Kakera,Adventure,PS2,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,N/A,N/A,06th Jul 06
Hiiro no Kakera Aizouban: Akane Iro no Tsuioku,Adventure,PS3,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,N/A,N/A,26th May 11
Hiiro no Kakera: Ano Sora no Shita de,Adventure,PS2,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,N/A,N/A,15th Feb 07
Hiiro no Kakera: Twin Pack,Adventure,PSP,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,N/A,N/A,14th Jul 11
Hikaru no Go: Insei Choujou Kessen,Adventure,PS,Konami,Tenky,N/A,N/A,N/A,N/A,N/A,N/A,19th Dec 02
"Hime Kishi Olivia: E, Hentai, Kono Hentai Otoko!",Adventure,PC,Unknown,Silky`s,N/A,N/A,N/A,N/A,N/A,N/A,26th Aug 11
HimeHibi: Princess Days,Adventure,PS2,Takuyo,Takuyo,N/A,N/A,N/A,N/A,N/A,N/A,28th Dec 06
HimeHibi: Princess Days Portable,Adventure,PSP,Takuyo,Takuyo,N/A,N/A,N/A,N/A,N/A,N/A,17th Jul 08
Himitsu: Tadagaita Natsu,Adventure,DC,Starfish,Starfish,N/A,N/A,N/A,N/A,N/A,N/A,26th Jul 01
Hirata Shogo Interactive Ehon: Aesop Monogatari,Adventure,3DO,Elcom,Elcom,N/A,N/A,N/A,N/A,N/A,N/A,03rd Nov 94
Hirata Shogo Interactive Ehon: Cinderella,Adventure,3DO,Elcom,Elcom,N/A,N/A,N/A,N/A,N/A,N/A,13th Jan 95
Hirata Shogo Interactive Ehon: Ookami to Shichi Hiki no Koyagi,Adventure,3DO,Elcom,Elcom,N/A,N/A,N/A,N/A,N/A,N/A,13th Jan 95
Hirata Shogo Interactive Ehon: Sanhiki no Kobuta,Adventure,3DO,Elcom,Elcom,N/A,N/A,N/A,N/A,N/A,N/A,02nd Dec 94
Hirata Shogo Interactive Ehon: Shirayuki Hime,Adventure,3DO,Elcom,Elcom,N/A,N/A,N/A,N/A,N/A,N/A,03rd Nov 94
Hitodzuma Man!! Dzumanda Kunoichi Migoro,Adventure,PC,Swan,Swan,N/A,N/A,N/A,N/A,N/A,N/A,28th Aug 09
Hitogata Ruins,Adventure,PC,Studio e-go,Studio e-go,N/A,N/A,N/A,N/A,N/A,N/A,24th Dec 04
Hohokum,Adventure,PS3,Sony Computer Entertainment,Honeyslug,N/A,N/A,N/A,N/A,N/A,N/A,12th Aug 14
Hohokum,Adventure,PS4,Sony Computer Entertainment,Honeyslug,N/A,N/A,N/A,N/A,N/A,N/A,12th Aug 14
Hohokum,Adventure,PSV,Sony Computer Entertainment,Honeyslug,N/A,N/A,N/A,N/A,N/A,N/A,12th Aug 14
Hook,Adventure,PC,Ocean,Shadow Software,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 92
Horrible Histories: Ruthless Romans,Adventure,PC,Graffiti,Virtual Identity,N/A,N/A,N/A,N/A,N/A,N/A,27th Apr 10
